GENDER,AGE_BAND,variable,value,YEAR
Female,16-20,pop_2022_c,1604676,2022
Female,21-25,pop_2022_c,1738900,2022
Female,26-30,pop_2022_c,1921276,2022
Female,31-35,pop_2022_c,2063379,2022
Female,36-40,pop_2022_c,1971139,2022
Female,41-45,pop_2022_c,1840804,2022
Female,46-50,pop_2022_c,1810171,2022
Female,51-55,pop_2022_c,1977977,2022
Female,56-60,pop_2022_c,1935631,2022
Female,61-65,pop_2022_c,1656823,2022
Female,66-70,pop_2022_c,1416453,2022
Female,71-75,pop_2022_c,1438442,2022
Female,76-80,pop_2022_c,1084585,2022
Female,81-85,pop_2022_c,754848,2022
Female,86+,pop_2022_c,753139,2022
Male,0-1,pop_2022_c,608282,2022
Male,2-5,pop_2022_c,1292681,2022
Male,6-10,pop_2022_c,1735203,2022
Male,11-15,pop_2022_c,1773202,2022
Male,16-20,pop_2022_c,1697738,2022
Male,21-25,pop_2022_c,1768472,2022
Male,26-30,pop_2022_c,1854092,2022
Male,31-35,pop_2022_c,1928508,2022
Male,36-40,pop_2022_c,1852606,2022
Male,41-45,pop_2022_c,1760923,2022
Male,46-50,pop_2022_c,1758771,2022
Male,51-55,pop_2022_c,1913300,2022
Male,56-60,pop_2022_c,1864580,2022
Male,61-65,pop_2022_c,1598489,2022
Male,66-70,pop_2022_c,1327119,2022
Male,71-75,pop_2022_c,1297838,2022
Male,76-80,pop_2022_c,930676,2022
Male,81-85,pop_2022_c,582228,2022
Male,86+,pop_2022_c,441324,2022
Female,0-1,pop_2023_c,578155,2023
Female,2-5,pop_2023_c,1234670,2023
Female,6-10,pop_2023_c,1658548,2023
Female,11-15,pop_2023_c,1726542,2023
Female,16-20,pop_2023_c,1633450,2023
Female,21-25,pop_2023_c,1737107,2023
Female,26-30,pop_2023_c,1934964,2023
Female,31-35,pop_2023_c,2088929,2023
Female,36-40,pop_2023_c,2013467,2023
Female,41-45,pop_2023_c,1897461,2023
Female,46-50,pop_2023_c,1767098,2023
Female,51-55,pop_2023_c,1961102,2023
Female,56-60,pop_2023_c,1952902,2023
Female,61-65,pop_2023_c,1708287,2023
Female,66-70,pop_2023_c,1439256,2023
Female,71-75,pop_2023_c,1371019,2023
Female,76-80,pop_2023_c,1184927,2023
Female,81-85,pop_2023_c,760083,2023
Female,86+,pop_2023_c,759282,2023
Male,0-1,pop_2023_c,606928,2023
Male,2-5,pop_2023_c,1293432,2023
Male,6-10,pop_2023_c,1737840,2023
Male,11-15,pop_2023_c,1812235,2023
Male,16-20,pop_2023_c,1738890,2023
Male,21-25,pop_2023_c,1786783,2023
Male,26-30,pop_2023_c,1881340,2023
Male,31-35,pop_2023_c,1960636,2023
