AGE_BAND,GENDER,drug_starpu,V1,pop,rate,base,star_pu
81-85,Male,Tetracyclines,128238,618650,0.207286834235836,0.154912621248853,1.33808874037997
86+,Male,Tetracyclines,107670,467661,0.230230872362673,0.154912621248853,1.48619828718042
6-10,Female,Tetracyclines,214,1744308,0.000122684755215249,0.154912621248853,0.000791961005024679
11-15,Female,Tetracyclines,65254,1778796,0.0366843640305015,0.154912621248853,0.236806812348566
16-20,Female,Tetracyclines,132860,1685785,0.0788119481428533,0.154912621248853,0.508750981730852
21-25,Female,Tetracyclines,113312,1828351,0.0619749708890689,0.154912621248853,0.400064051524323
26-30,Female,Tetracyclines,125891,2016286,0.0624370748990967,0.154912621248853,0.403047049334976
31-35,Female,Tetracyclines,148534,2165311,0.0685970745080037,0.154912621248853,0.442811398806615
41-45,Female,Tetracyclines,172535,1931799,0.0893131221208832,0.154912621248853,0.576538705502956
6-10,Male,Tetracyclines,210,1827831,0.000114890271584189,0.154912621248853,0.000741645649385977
11-15,Male,Tetracyclines,53372,1869008,0.0285563250665594,0.154912621248853,0.184338272997694
16-20,Male,Tetracyclines,128442,1784557,0.0719741650168641,0.154912621248853,0.464611368890624
21-25,Male,Tetracyclines,64702,1863510,0.0347205005607697,0.154912621248853,0.22412957886107
26-30,Male,Tetracyclines,63503,1947065,0.0326147303762329,0.154912621248853,0.210536301776473
31-35,Male,Tetracyclines,75804,2025452,0.03742572028367,0.154912621248853,0.24159245374558
36-40,Male,Tetracyclines,83446,1944802,0.0429071956939575,0.154912621248853,0.276976758562694
41-45,Male,Tetracyclines,91336,1847890,0.049427184518559,0.154912621248853,0.319064929120003
2-5,Male,Tetracyclines,9,1359751,6.6188588940181e-06,0.154912621248853,4.27264017654541e-05
0-1,Female,Aminoglycosides,2,608726,3.28555047755476e-06,5.79777695042617e-05,0.0566691424255853
2-5,Female,Aminoglycosides,6,1298119,4.62207239860136e-06,5.79777695042617e-05,0.079721459416641
6-10,Female,Aminoglycosides,14,1744308,8.02610548137141e-06,5.79777695042617e-05,0.138434188655385
11-15,Female,Aminoglycosides,11,1778796,6.18395813797647e-06,5.79777695042617e-05,0.106660849336778
21-25,Female,Aminoglycosides,23,1828351,1.25796414364638e-05,5.79777695042617e-05,0.216973532166309
26-30,Female,Aminoglycosides,57,2016286,2.8269799026527e-05,5.79777695042617e-05,0.487597216454645
31-35,Female,Aminoglycosides,11,2165311,5.08010165745244e-06,5.79777695042617e-05,0.0876215435828215
36-40,Female,Aminoglycosides,30,2068502,1.4503249211265e-05,5.79777695042617e-05,0.25015190020718
41-45,Female,Aminoglycosides,35,1931799,1.81178269581877e-05,5.79777695042617e-05,0.312496101749067
46-50,Female,Aminoglycosides,46,1904655,2.41513554948271e-05,5.79777695042617e-05,0.416562342796784
51-55,Female,Aminoglycosides,75,2089624,3.58916245219236e-05,5.79777695042617e-05,0.619058387875466
56-60,Female,Aminoglycosides,97,2050350,4.73089960250689e-05,5.79777695042617e-05,0.815985099626702
61-65,Female,Aminoglycosides,102,1759295,5.79777695042617e-05,5.79777695042617e-05,1
66-70,Female,Aminoglycosides,131,1507177,8.69174622489595e-05,5.79777695042617e-05,1.49915153673807
71-75,Female,Aminoglycosides,298,1530177,0.0001947487120771,5.79777695042617e-05,3.35902387660471
76-80,Female,Aminoglycosides,127,1153142,0.000110133877701098,5.79777695042617e-05,1.89958804284465
81-85,Female,Aminoglycosides,126,801469,0.000157211320712342,5.79777695042617e-05,2.71157931835902
86+,Female,Aminoglycosides,81,797992,0.000101504776990246,5.79777695042617e-05,1.75075339838288
6-10,Male,Aminoglycosides,12,1827831,6.56515837623938e-06,5.79777695042617e-05,0.113235787309079
16-20,Male,Aminoglycosides,22,1784557,1.23279895234504e-05,5.79777695042617e-05,0.212633042437829
21-25,Male,Aminoglycosides,37,1863510,1.98550048027647e-05,5.79777695042617e-05,0.342458928181175
26-30,Male,Aminoglycosides,39,1947065,2.00301479406183e-05,5.79777695042617e-05,0.345479795305785
31-35,Male,Aminoglycosides,30,2025452,1.48115087397776e-05,5.79777695042617e-05,0.255468757532814
36-40,Male,Aminoglycosides,84,1944802,4.31920575976372e-05,5.79777695042617e-05,0.744976185992501
41-45,Male,Aminoglycosides,22,1847890,1.1905470563724e-05,5.79777695042617e-05,0.205345439562812
46-50,Male,Aminoglycosides,49,1848950,2.65015278942102e-05,5.79777695042617e-05,0.457098093300437
51-55,Male,Aminoglycosides,74,2018546,3.66600513438881e-05,5.79777695042617e-05,0.632312206167114
56-60,Male,Aminoglycosides,104,1973571,5.26963559963133e-05,5.79777695042617e-05,0.90890623159347
61-65,Male,Aminoglycosides,107,1696457,6.30726272460782e-05,5.79777695042617e-05,1.08787605638127
66-70,Male,Aminoglycosides,105,1412440,7.43394409674039e-05,5.79777695042617e-05,1.28220594898773
71-75,Male,Aminoglycosides,187,1383264,0.000135187498554144,5.79777695042617e-05,2.33171264969425
76-80,Male,Aminoglycosides,236,990701,0.000238215162798867,5.79777695042617e-05,4.10873279251208
81-85,Male,Aminoglycosides,131,618650,0.000211751394164714,5.79777695042617e-05,3.65228597055892
86+,Male,Aminoglycosides,157,467661,0.000335713262384505,5.79777695042617e-05,5.79037905830145
11-15,Male,Aminoglycosides,16,1869008,8.56069101897905e-06,5.79777695042617e-05,0.147654714767007
0-1,Female,Macrolides,30531,608726,0.0501555708151122,0.0824676930247628,0.608184477769396
2-5,Female,Macrolides,77835,1298119,0.0599598341908562,0.0824676930247628,0.72707058960473
6-10,Female,Macrolides,65766,1744308,0.0377032037919909,0.0824676930247628,0.457187565325365
11-15,Female,Macrolides,54679,1778796,0.030739331547856,0.0824676930247628,0.372743924564809
16-20,Female,Macrolides,60858,1685785,0.0361006889965209,0.0824676930247628,0.437755533984452
21-25,Female,Macrolides,62704,1828351,0.0342953842013924,0.0824676930247628,0.415864479088732
26-30,Female,Macrolides,81983,2016286,0.0406604023437151,0.0824676930247628,0.493046438579359
31-35,Female,Macrolides,102435,2165311,0.0473072921164673,0.0824676930247628,0.573646362367167
36-40,Female,Macrolides,101018,2068502,0.0488363076274521,0.0824676930247628,0.592187144277068
41-45,Female,Macrolides,95840,1931799,0.0496117867335059,0.0824676930247628,0.601590573397135
46-50,Female,Macrolides,94163,1904655,0.0494383497273785,0.0824676930247628,0.599487483086661
51-55,Female,Macrolides,120338,2089624,0.0575883508229232,0.0824676930247628,0.698314075617842
56-60,Female,Macrolides,137822,2050350,0.0672187675274953,0.0824676930247628,0.815092129560498
61-65,Female,Macrolides,145085,1759295,0.0824676930247628,0.0824676930247628,1
66-70,Female,Macrolides,138637,1507177,0.0919845512504503,0.0824676930247628,1.11540104829694
71-75,Female,Macrolides,149074,1530177,0.097422716456985,0.0824676930247628,1.18134402556564
76-80,Female,Macrolides,139689,1153142,0.121137726316447,0.0824676930247628,1.46891130178787
81-85,Female,Macrolides,98426,801469,0.12280699565423,0.0824676930247628,1.48915279608167
86+,Female,Macrolides,95746,797992,0.11998365898405,0.0824676930247628,1.45491712673498
0-1,Male,Macrolides,40311,638068,0.0631766520182802,0.0824676930247628,0.766077595978221
2-5,Male,Macrolides,90828,1359751,0.0667975239584306,0.0824676930247628,0.809984146620583
6-10,Male,Macrolides,67516,1827831,0.0369377694108482,0.0824676930247628,0.447905938144247
11-15,Male,Macrolides,51226,1869008,0.0274081223836388,0.0824676930247628,0.332349813343377
16-20,Male,Macrolides,42030,1784557,0.0235520636213918,0.0824676930247628,0.285591396552341
21-25,Male,Macrolides,30926,1863510,0.0165955642846027,0.0824676930247628,0.201237159376091
26-30,Male,Macrolides,34202,1947065,0.0175659261503853,0.0824676930247628,0.213003729170777
31-35,Male,Macrolides,41949,2025452,0.020710932670831,0.0824676930247628,0.251139954462071
36-40,Male,Macrolides,45440,1944802,0.0233648463956742,0.0824676930247628,0.283321207841456
41-45,Male,Macrolides,45866,1847890,0.024820741494353,0.0824676930247628,0.300975334509479
46-50,Male,Macrolides,47545,1848950,0.0257145947700046,0.0824676930247628,0.311814164151327
51-55,Male,Macrolides,59980,2018546,0.0297144578325191,0.0824676930247628,0.360316346227809
56-60,Male,Macrolides,72364,1973571,0.0366665298588194,0.0824676930247628,0.444616898011315
61-65,Male,Macrolides,83905,1696457,0.0494589606456279,0.0824676930247628,0.599737410270186
66-70,Male,Macrolides,88928,1412440,0.06296055053666,0.0824676930247628,0.763457157917036
71-75,Male,Macrolides,102490,1383264,0.0740928701968677,0.0824676930247628,0.898447227990477
76-80,Male,Macrolides,96697,990701,0.0976046254117034,0.0824676930247628,1.18354984639131
81-85,Male,Macrolides,61488,618650,0.0993906085832054,0.0824676930247628,1.20520660803936
86+,Male,Macrolides,48304,467661,0.103288493160644,0.0824676930247628,1.2524722030193
0-1,Female,Clindamycin and lincomycin,8,608726,1.3142201910219e-05,0.0015671050051299,0.00838629311194734
2-5,Female,Clindamycin and lincomycin,74,1298119,5.70055595827501e-05,0.0015671050051299,0.0363763496358848
6-10,Female,Clindamycin and lincomycin,112,1744308,6.42088438509713e-05,0.0015671050051299,0.0409729045857071
11-15,Female,Clindamycin and lincomycin,318,1778796,0.000178772607988774,0.0015671050051299,0.114078257298372
16-20,Female,Clindamycin and lincomycin,700,1685785,0.000415236818455497,0.0015671050051299,0.264970641467052
21-25,Female,Clindamycin and lincomycin,1267,1828351,0.000692974160869549,0.0015671050051299,0.442200209048601
26-30,Female,Clindamycin and lincomycin,1909,2016286,0.000946790286695439,0.0015671050051299,0.604165185865743
31-35,Female,Clindamycin and lincomycin,2339,2165311,0.00108021434334375,0.0015671050051299,0.689305655848003
36-40,Female,Clindamycin and lincomycin,2249,2068502,0.0010872602492045,0.0015671050051299,0.69380178459348
41-45,Female,Clindamycin and lincomycin,2388,1931799,0.00123615345074721,0.0015671050051299,0.788813414991768
46-50,Female,Clindamycin and lincomycin,2179,1904655,0.00114403920920062,0.0015671050051299,0.730033536652375
51-55,Female,Clindamycin and lincomycin,2614,2089624,0.00125094275333744,0.0015671050051299,0.798250754890387
56-60,Female,Clindamycin and lincomycin,2820,2050350,0.00137537493598654,0.0015671050051299,0.877653336237373
61-65,Female,Clindamycin and lincomycin,2757,1759295,0.0015671050051299,0.0015671050051299,1
66-70,Female,Clindamycin and lincomycin,2496,1507177,0.00165607622727788,0.0015671050051299,1.05677425689838
71-75,Female,Clindamycin and lincomycin,3000,1530177,0.00196055750413188,0.0015671050051299,1.25106964607606
76-80,Female,Clindamycin and lincomycin,3245,1153142,0.00281405065464618,0.0015671050051299,1.79570012566766
81-85,Female,Clindamycin and lincomycin,2788,801469,0.0034786123979842,0.0015671050051299,2.21976982180327
86+,Female,Clindamycin and lincomycin,3648,797992,0.00457147440074587,0.0015671050051299,2.91714619363809
0-1,Male,Clindamycin and lincomycin,14,638068,2.19412351034686e-05,0.0015671050051299,0.0140011263008186
2-5,Male,Clindamycin and lincomycin,72,1359751,5.29508711521448e-05,0.0015671050051299,0.0337889745606139
6-10,Male,Clindamycin and lincomycin,107,1827831,5.85393288548011e-05,0.0015671050051299,0.0373550774601405
11-15,Male,Clindamycin and lincomycin,259,1869008,0.000138576185869723,0.0015671050051299,0.0884281432425372
16-20,Male,Clindamycin and lincomycin,482,1784557,0.000270095043195594,0.0015671050051299,0.172352868704676
21-25,Male,Clindamycin and lincomycin,664,1863510,0.000356316842946912,0.0015671050051299,0.22737266601824
26-30,Male,Clindamycin and lincomycin,776,1947065,0.000398548584664611,0.0015671050051299,0.254321556858007
31-35,Male,Clindamycin and lincomycin,1109,2025452,0.000547532106413778,0.0015671050051299,0.349390822326162
36-40,Male,Clindamycin and lincomycin,1181,1944802,0.000607259762176304,0.0015671050051299,0.387504194159579
41-45,Male,Clindamycin and lincomycin,1373,1847890,0.000743009594726959,0.0015671050051299,0.474128786708439
46-50,Male,Clindamycin and lincomycin,1622,1848950,0.000877254658049163,0.0015671050051299,0.55979315692151
51-55,Male,Clindamycin and lincomycin,2042,2018546,0.00101161925465162,0.0015671050051299,0.645533803631597
56-60,Male,Clindamycin and lincomycin,2476,1973571,0.00125457862929684,0.0015671050051299,0.800570877631045
61-65,Male,Clindamycin and lincomycin,2638,1696457,0.00155500552032854,0.0015671050051299,0.992279084833662
66-70,Male,Clindamycin and lincomycin,2431,1412440,0.00172113505706437,0.0015671050051299,1.09828955394199
71-75,Male,Clindamycin and lincomycin,2602,1383264,0.00188105813496195,0.0015671050051299,1.20033956167859
76-80,Male,Clindamycin and lincomycin,2555,990701,0.00257898195318265,0.0015671050051299,1.64569824277275
81-85,Male,Clindamycin and lincomycin,1922,618650,0.00310676472965328,0.0015671050051299,1.98248663585613
86+,Male,Clindamycin and lincomycin,1921,467661,0.00410767628688302,0.0015671050051299,2.62118765075512
6-10,Female,Some other antibacterials,342,1744308,0.00019606629104493,0.00850170096544354,0.0230620074549636
31-35,Female,Some other antibacterials,3446,2165311,0.00159145730105283,0.00850170096544354,0.187192810888262
41-45,Female,Some other antibacterials,6393,1931799,0.00330935050696268,0.00850170096544354,0.389257458056222
46-50,Female,Some other antibacterials,7656,1904655,0.00401962560148688,0.00850170096544354,0.472802515381953
61-65,Female,Some other antibacterials,14957,1759295,0.00850170096544354,0.00850170096544354,1
66-70,Female,Some other antibacterials,17106,1507177,0.0113496954903107,0.00850170096544354,1.33499114311868
71-75,Female,Some other antibacterials,21597,1530177,0.0141140534722454,0.00850170096544354,1.6601446615935
76-80,Female,Some other antibacterials,23957,1153142,0.0207754118746867,0.00850170096544354,2.4436770899296
81-85,Female,Some other antibacterials,21247,801469,0.0265100708823423,0.00850170096544354,3.11820787276529
86+,Female,Some other antibacterials,29573,797992,0.0370592687645991,0.00850170096544354,4.35904166886511
11-15,Male,Some other antibacterials,754,1869008,0.000403422564269388,0.00850170096544354,0.0474519823631953
61-65,Male,Some other antibacterials,13322,1696457,0.00785283682403975,0.00850170096544354,0.923678315193489
66-70,Male,Some other antibacterials,11792,1412440,0.0083486732179774,0.00850170096544354,0.982000337569135
71-75,Male,Some other antibacterials,12980,1383264,0.00938360284081708,0.00850170096544354,1.10373240354585
76-80,Male,Some other antibacterials,10823,990701,0.0109245877414073,0.00850170096544354,1.28498847299052
81-85,Male,Some other antibacterials,7440,618650,0.0120261860502708,0.00850170096544354,1.41456234454176
86+,Male,Some other antibacterials,7482,467661,0.0159987683386042,0.00850170096544354,1.88183145980242
11-15,Female,Some other antibacterials,688,1778796,0.000386778472629801,0.00850170096544354,0.0454942457047032
16-20,Female,Some other antibacterials,1548,1685785,0.000918266564241585,0.00850170096544354,0.108009746281835
21-25,Female,Some other antibacterials,2180,1828351,0.00119233123180396,0.00850170096544354,0.140246197396306
26-30,Female,Some other antibacterials,2799,2016286,0.0013881959206184,0.00850170096544354,0.163284491687127
36-40,Female,Some other antibacterials,4379,2068502,0.00211699094320431,0.00850170096544354,0.249007928155688
51-55,Female,Some other antibacterials,11687,2089624,0.00559287221050294,0.00850170096544354,0.657853320557383
56-60,Female,Some other antibacterials,14568,2050350,0.00710512839271344,0.00850170096544354,0.835730216999318
16-20,Male,Some other antibacterials,687,1784557,0.000384969491027745,0.00850170096544354,0.0452814669196802
21-25,Male,Some other antibacterials,796,1863510,0.000427150914135154,0.00850170096544354,0.0502429944162202
26-30,Male,Some other antibacterials,839,1947065,0.000430904977491763,0.00850170096544354,0.0506845605653789
31-35,Male,Some other antibacterials,1431,2025452,0.000706508966887391,0.00850170096544354,0.0831020721334594
36-40,Male,Some other antibacterials,2709,1944802,0.0013929438575238,0.00850170096544354,0.163842960742283
41-45,Male,Some other antibacterials,3980,1847890,0.00215380785652826,0.00850170096544354,0.253338463124348
46-50,Male,Some other antibacterials,6627,1848950,0.00358419643581492,0.00850170096544354,0.42158580387424
51-55,Male,Some other antibacterials,9609,2018546,0.0047603572076138,0.00850170096544354,0.559929974832448
56-60,Male,Some other antibacterials,13040,1973571,0.00660731232876851,0.00850170096544354,0.777175338867473
0-1,Female,Some other antibacterials,44,608726,7.22821105062048e-05,0.00850170096544354,0.00850207632566782
2-5,Female,Some other antibacterials,251,1298119,0.00019335669534149,0.00850170096544354,0.0227432952684902
0-1,Male,Some other antibacterials,45,638068,7.05253985468633e-05,0.00850170096544354,0.00829544568004974
2-5,Male,Some other antibacterials,376,1359751,0.000276521216016756,0.00850170096544354,0.032525398992592
6-10,Male,Some other antibacterials,621,1827831,0.000339746945970388,0.00850170096544354,0.0399622319523282
0-1,Female,Sulfonamides and trimethoprim,9943,608726,0.0163341141991635,0.0391554571575546,0.417160605057883
2-5,Female,Sulfonamides and trimethoprim,67247,1298119,0.0518034170981243,0.0391554571575546,1.32301908491776
6-10,Female,Sulfonamides and trimethoprim,69496,1744308,0.0398415876095277,0.0391554571575546,1.01752323946091
11-15,Female,Sulfonamides and trimethoprim,31167,1778796,0.0175214021169375,0.0391554571575546,0.447483017410179
16-20,Female,Sulfonamides and trimethoprim,22879,1685785,0.0135717188134905,0.0391554571575546,0.346611169903604
21-25,Female,Sulfonamides and trimethoprim,24881,1828351,0.0136084373295937,0.0391554571575546,0.347548932319594
26-30,Female,Sulfonamides and trimethoprim,29658,2016286,0.0147092227987498,0.0391554571575546,0.375662139240579
31-35,Female,Sulfonamides and trimethoprim,33386,2165311,0.0154185703577916,0.0391554571575546,0.39377832560478
36-40,Female,Sulfonamides and trimethoprim,33797,2068502,0.0163388771197707,0.0391554571575546,0.41728224635524
41-45,Female,Sulfonamides and trimethoprim,34040,1931799,0.0176208808473345,0.0391554571575546,0.45002362701146
46-50,Female,Sulfonamides and trimethoprim,37802,1904655,0.0198471639220751,0.0391554571575546,0.506881169646766
51-55,Female,Sulfonamides and trimethoprim,51851,2089624,0.0248135549744834,0.0391554571575546,0.633718944325899
56-60,Female,Sulfonamides and trimethoprim,63617,2050350,0.0310273855683176,0.0391554571575546,0.7924153571613
61-65,Female,Sulfonamides and trimethoprim,68886,1759295,0.0391554571575546,0.0391554571575546,1
66-70,Female,Sulfonamides and trimethoprim,74563,1507177,0.0494719598295356,0.0391554571575546,1.26347547496302
71-75,Female,Sulfonamides and trimethoprim,92602,1530177,0.0605171819992066,0.0391554571575546,1.54556188057507
76-80,Female,Sulfonamides and trimethoprim,112971,1153142,0.0979679865966204,0.0391554571575546,2.50202637661501
81-85,Female,Sulfonamides and trimethoprim,101681,801469,0.126868288105965,0.0391554571575546,3.24011765704765
